Timestamp(sec/#),Used(K),Total(K),Pause(sec),GC-Type
0.2664866,3365,10432,0.0025134,GC
0.269,2478,10432,0,NONE
0.2819426,13908,19968,0.0030574,GC
0.285,12469,19968,0,NONE
0.2849798,12469,19968,0.0030202,GC
0.288,12469,19968,0,NONE
0.27235109999999996,12469,17024,0.0186489,Full GC
0.291,5286,17024,0,NONE
0.3094824,12408,19968,0.0075176,GC
0.317,12408,19968,0,NONE
0.3206054,12408,19520,0.0043946,GC
0.325,12408,19520,0,NONE
0.3053632,12408,19520,0.0246368,Full GC
0.33,7660,19520,0,NONE
0.3537764,7660,19776,2.236E-4,GC
0.354,7660,19776,0,NONE
-1.8653403000000002,7660,19776,2.2203403,Full GC
0.355,7644,19776,0,NONE
